NAME,LATITUDE,LONGITUDE,LOCATION,TYPE
Oliver Arena,53.5459590558282,-113.526548265254,"(53.5459590558282, -113.526548265254)",Arena
Glengarry Arena,53.5948406462135,-113.472798335187,"(53.5948406462135, -113.472798335187)",Arena
Londonderry Arena,53.6076667947454,-113.445288367683,"(53.6076667947454, -113.445288367683)",Arena
Tipton Arena,53.5169289547224,-113.511653491633,"(53.5169289547224, -113.511653491633)",Arena
Peter Hemingway Fitness and Leisure Centre,53.5596546389845,-113.560916311173,"(53.5596546389845, -113.560916311173)",Recreation Facility
Terwilleger Community Recreation Centre,53.4590196738226,-113.584136101141,"(53.4590196738226, -113.584136101141)",Recreation Facility
Telus World of Science Edmonton,53.560599005074,-113.563380012966,"(53.560599005074, -113.563380012966)",Attraction
City Arts Centre,53.5198784540249,-113.514131105863,"(53.5198784540249, -113.514131105863)",Attraction
Fred Broadstock Outdoor Swimming Pool,53.5489096204327,-113.593060728427,"(53.5489096204327, -113.593060728427)",Outdoor Pool
Mill Woods Recreation Centre,53.4571593517593,-113.444516001195,"(53.4571593517593, -113.444516001195)",Recreation Facility
Crestwood Arena,53.5389963432722,-113.576047346687,"(53.5389963432722, -113.576047346687)",Arena
John Janzen Nature Centre,53.5023074183081,-113.572679471293,"(53.5023074183081, -113.572679471293)",Attraction
Confederation Arena,53.4802093903813,-113.520837076334,"(53.4802093903813, -113.520837076334)",Arena
John Walter Museum,53.5280102130567,-113.505691454288,"(53.5280102130567, -113.505691454288)",Attraction
Kinsmen Pitch & Putt,53.5256902143764,-113.509637437044,"(53.5256902143764, -113.509637437044)",Attraction
JP Annex,53.5270469619234,-113.604432478224,"(53.5270469619234, -113.604432478224)",Attraction
Rundle Park Mini Golf,53.5533046988803,-113.389525256211,"(53.5533046988803, -113.389525256211)",Attraction
Kinsmen Twin Arenas,53.4509125116592,-113.513738447445,"(53.4509125116592, -113.513738447445)",Arena
Confederation Leisure Centre,53.4801616549884,-113.519772079633,"(53.4801616549884, -113.519772079633)",Recreation Facility
Commonwealth Community Recreation Centre,53.5587127834742,-113.476845592442,"(53.5587127834742, -113.476845592442)",Recreation Facility
O'Leary Fitness and Leisure Centre,53.5928026348729,-113.477068206744,"(53.5928026348729, -113.477068206744)",Recreation Facility
Hardisty Fitness and Leisure Centre,53.5491467670426,-113.430122508986,"(53.5491467670426, -113.430122508986)",Recreation Facility
Clareview Recreation Centre,53.6029488712007,-113.403162299772,"(53.6029488712007, -113.403162299772)",Recreation Facility
George S. Hughes South Side Arena,53.5082539304512,-113.502091956472,"(53.5082539304512, -113.502091956472)",Arena
Bonnie Doon Leisure Centre,53.5238723935839,-113.454486792034,"(53.5238723935839, -113.454486792034)",Recreation Facility
Grand Trunk Fitness and Leisure Centre,53.5903993868035,-113.512900635973,"(53.5903993868035, -113.512900635973)",Recreation Facility
Russ Barnes Arena,53.5749705544782,-113.446407196369,"(53.5749705544782, -113.446407196369)",Arena
Borden Park Outdoor Swimming Pool,53.5635689556813,-113.455142280715,"(53.5635689556813, -113.455142280715)",Outdoor Pool
Westwood Arena,53.5747505320073,-113.493359361201,"(53.5747505320073, -113.493359361201)",Arena
Muttart Conservatory,53.5352656639539,-113.477607551038,"(53.5352656639539, -113.477607551038)",Attraction
Eastglen Leisure Centre,53.5669867070818,-113.445270239,"(53.5669867070818, -113.445270239)",Recreation Facility
Callingwood Recreation Centre,53.5056012949322,-113.628808026246,"(53.5056012949322, -113.628808026246)",Recreation Facility
Mill Creek Outdoor Swimming Pool,53.5196917638875,-113.474191718975,"(53.5196917638875, -113.474191718975)",Outdoor Pool
Michael Cameron Arena,53.5468565586298,-113.424264720943,"(53.5468565586298, -113.424264720943)",Arena
Queen Elizabeth Outdoor Pool,53.5272126062906,-113.507152986809,"(53.5272126062906, -113.507152986809)",Outdoor Pool
Londonderry Fitness and Leisure Centre,53.6076622253676,-113.443593925598,"(53.6076622253676, -113.443593925598)",Recreation Facility
Castle Downs Recreation Centre,53.6161844977714,-113.521721163475,"(53.6161844977714, -113.521721163475)",Recreation Facility
Bill Hunter Arena,53.5277611333562,-113.604132376182,"(53.5277611333562, -113.604132376182)",Arena
Jasper Place Fitness and Leisure Centre,53.5265863408766,-113.604195140386,"(53.5265863408766, -113.604195140386)",Recreation Facility
Commonwealth Stadium,53.5586485353862,-113.477421392582,"(53.5586485353862, -113.477421392582)",Recreation Facility
Fort Edmonton Park,53.5035134239923,-113.573630195701,"(53.5035134239923, -113.573630195701)",Attraction
Rundle Park Paddle Boat House,53.5537556686537,-113.389084665063,"(53.5537556686537, -113.389084665063)",Attraction
Prince of Wales Armouries Heritage Centre,53.55426182517,-113.500744255491,"(53.55426182517, -113.500744255491)",Attraction
Coronation Arena,53.5614643909971,-113.558330776389,"(53.5614643909971, -113.558330776389)",Arena
The Meadows Community Recreation Centre,53.457735208703,-113.371830649157,"(53.457735208703, -113.371830649157)",Recreation Facility
A.C.T. Aquatics and Recreation Centre,53.5562165925959,-113.387008011227,"(53.5562165925959, -113.387008011227)",Recreation Facility
Kinsmen Sports Centre,53.5267214547643,-113.508145472711,"(53.5267214547643, -113.508145472711)",Recreation Facility
Donnan Arena,53.5159009815815,-113.468202489445,"(53.5159009815815, -113.468202489445)",Arena
Oliver Outdoor Swimming Pool,53.5452313830786,-113.52663647256,"(53.5452313830786, -113.52663647256)",Outdoor Pool
Kenilworth Arena,53.5193914413671,-113.430967864949,"(53.5193914413671, -113.430967864949)",Arena
Valley Zoo,53.5124075387812,-113.555864417234,"(53.5124075387812, -113.555864417234)",Attraction
